ID,IDSocieta,codice,macroCommessa,descrizione,stato,dataInizio,dataFine,dataGolive,rifCliente,rifProgetto,rifFunzionale,rifTecnico,giorniProgetto,giorniFunzionale,giorniSviluppo,note,pianificabile,visibileCliente,codiceIcms,sapOdv,tipologia,categoria,fixOrTimeMaterial,IDCliente.id
1,2,COD001,MCR001,Proyecto Innovador,1,2023-01-15,2023-06-30,2023-07-15,ClienteUno,ProyectoUno,FunzionaleUno,TecnicoUno,120.5,90.3,60.8,Detalle del proyecto," true"," true"," ICMS001",ODV001,Desarrollo,Informática,FI,1
2,4,COD002,MCR002,Implementación de Software,2,2023-02-01,2023-07-31,2023-08-15,ClienteDos,ProyectoDos,FunzionaleDos,TecnicoDos,180.2,150.0,90.5,Notas adicionales sobre el proyecto," true"," true"," ICMS002",ODV002,Consultoría,Servicios,TM,2
3,6,COD003,MCR003,Proyecto de Integración,3,2023-03-10,2023-09-30,2023-10-15,ClienteTres,ProyectoTres,FunzionaleTres,TecnicoTres,250.8,220.5,120.0,Detalles del proyecto de integración," true"," false"," ICMS003",ODV003,Desarrollo,Informática,FI,3
4,8,COD004,MCR004,Desarrollo de Aplicaciones Móviles,1,2023-04-05,2023-10-31,2023-11-15,ClienteCuatro,ProyectoCuatro,FunzionaleCuatro,TecnicoCuatro,130.0,100.5,50.2,Notas para el proyecto móvil," false"," false"," ICMS004",ODV004,Desarrollo,Informática,TM,4
5,10,COD005,MCR005,Proyecto de Infraestructura de Red,2,2023-05-20,2023-11-30,2023-12-15,ClienteCinco,ProyectoCinco,FunzionaleCinco,TecnicoCinco,200.5,170.0,80.2,Detalles de la infraestructura," true"," true"," ICMS005",ODV005,Consultoría,Servicios,FI,5
6,12,COD006,MCR006,Desarrollo de Plataforma E-Commerce,3,2023-06-15,2023-12-31,2024-01-15,ClienteSeis,ProyectoSeis,FunzionaleSeis,TecnicoSeis,160.0,130.5,70.2,Detalles del proyecto de comercio electrónico," true"," true"," ICMS006",ODV006,Desarrollo,Informática,TM,6
7,14,COD007,MCR007,Proyecto de Automatización Industrial,1,2023-07-01,2024-01-31,2024-02-15,ClienteSiete,ProyectoSiete,FunzionaleSiete,TecnicoSiete,220.5,190.0,100.2,Detalles de la automatización industrial," false"," false"," ICMS007",ODV007,Desarrollo,Informática,FI,7
8,16,COD008,MCR008,Desarrollo de Sistema de Gestión,2,2023-08-18,2024-02-28,2024-03-15,ClienteOcho,ProyectoOcho,FunzionaleOcho,TecnicoOcho,90.5,60.0,30.2,Notas para el sistema de gestión," true"," true"," ICMS008",ODV008,Consultoría,Servicios,FI,8
9,18,COD009,MCR009,Proyecto de Seguridad Cibernética,3,2023-09-10,2024-03-31,2024-04-15,ClienteNueve,ProyectoNueve,FunzionaleNueve,TecnicoNueve,270.0,240.5,140.2,Detalles de seguridad cibernética," true"," false"," ICMS009",ODV009,Desarrollo,Informática,TM,9
10,20,COD010,MCR010,Desarrollo de Aplicación Web,1,2023-10-05,2024-04-30,2024-05-15,ClienteDiez,ProyectoDiez,FunzionaleDiez,TecnicoDiez,140.5,110.0,60.2,Detalles de la aplicación web," true"," true"," ICMS010",ODV010,Consultoría,Servicios,FI,10
11,2,COD011,MCR011,Proyecto de Internet de las Cosas,2,2023-11-20,2024-05-31,2024-06-15,ClienteOnce,ProyectoOnce,FunzionaleOnce,TecnicoOnce,180.0,150.5,80.0,Detalles del proyecto IoT," true"," true"," ICMS011",ODV011,Desarrollo,Informática,TM,11
12,4,COD012,MCR012,Implementación de Sistemas ERP,3,2023-12-15,2024-06-30,2024-07-15,ClienteDoce,ProyectoDoce,FunzionaleDoce,TecnicoDoce,250.5,220.0,120.5,Notas para la implementación ERP," false"," false"," ICMS012",ODV012,Desarrollo,Informática,FI,12
13,6,COD013,MCR013,Desarrollo de Juegos Multijugador,1,2024-01-01,2024-07-31,2024-08-15,ClienteTrece,ProyectoTrece,FunzionaleTrece,TecnicoTrece,120.8,90.0,60.5,Detalles del proyecto de juegos," true"," true"," ICMS013",ODV013,Consultoría,Servicios,TM,13
14,8,COD014,MCR014,Proyecto de Energías Renovables,2,2024-02-15,2024-08-31,2024-09-15,ClienteCatorce,ProyectoCatorce,FunzionaleCatorce,TecnicoCatorce,190.2,160.0,90.5,Detalles de energías renovables," true"," false"," ICMS014",ODV014,Desarrollo,Informática,FI,14
15,10,COD015,MCR015,Desarrollo de Aplicación de Salud,3,2024-03-10,2024-09-30,2024-10-15,ClienteQuince,ProyectoQuince,FunzionaleQuince,TecnicoQuince,260.8,230.5,130.0,Detalles de la aplicación de salud," true"," true"," ICMS015",ODV015,Desarrollo,Informática,TM,15
16,12,COD016,MCR016,Proyecto de Nube Híbrida,1,2024-04-05,2024-10-31,2024-11-15,ClienteDieciséis,ProyectoDieciséis,FunzionaleDieciséis,TecnicoDieciséis,130.0,100.5,50.2,Detalles del proyecto de nube híbrida," false"," false"," ICMS016",ODV016,Consultoría,Servicios,FI,16
17,14,COD017,MCR017,Desarrollo de Software de Logística,2,2024-05-20,2024-11-30,2024-12-15,ClienteDiecisiete,ProyectoDiecisiete,FunzionaleDiecisiete,TecnicoDiecisiete,200.5,170.0,80.2,Notas para el software de logística," true"," true"," ICMS017",ODV017,Desarrollo,Informática,FI,17
18,16,COD018,MCR018,Proyecto de Comercio Electrónico B2B,3,2024-06-15,2024-12-31,2025-01-15,ClienteDieciocho,ProyectoDieciocho,FunzionaleDieciocho,TecnicoDieciocho,160.0,130.5,70.2,Detalles del proyecto de eCommerce B2B," true"," true"," ICMS018",ODV018,Consultoría,Servicios,TM,18
19,18,COD019,MCR019,Desarrollo de Aplicación de Realidad Aumentada,1,2024-07-01,2025-01-31,2025-02-15,ClienteDiecinueve,ProyectoDiecinueve,FunzionaleDiecinueve,TecnicoDiecinueve,220.5,190.0,100.2,Detalles de la aplicación de AR," false"," false"," ICMS019",ODV019,Desarrollo,Informática,FI,19
20,20,COD020,MCR020,Proyecto de Inteligencia Artificial,2,2024-08-18,2025-02-28,2025-03-15,ClienteVeinte,ProyectoVeinte,FunzionaleVeinte,TecnicoVeinte,90.5,60.0,30.2,Notas para el proyecto de IA," true"," true"," ICMS020",ODV020,Consultoría,Servicios,FI,20
21,6,COD023,MCR023,Proyecto de Energía Solar,2,2024-11-20,2025-05-31,2025-06-15,ClienteVeintitrés,ProyectoVeintitrés,FunzionaleVeintitrés,TecnicoVeintitrés,180.0,150.5,80.0,Detalles del proyecto de energía solar," true"," true"," ICMS023",ODV023,Desarrollo,Informática,TM,1
22,8,COD024,MCR024,Implementación de Sistemas de Gestión de Recursos Humanos,3,2024-12-15,2025-06-30,2025-07-15,ClienteVeinticuatro,ProyectoVeinticuatro,FunzionaleVeinticuatro,TecnicoVeinticuatro,250.5,220.0,120.5,Notas para la implementación de HRMS," false"," false"," ICMS024",ODV024,Desarrollo,Informática,FI,2
23,10,COD025,MCR025,Proyecto de Desarrollo de Blockchain,1,2025-01-01,2025-07-31,2025-08-15,ClienteVeinticinco,ProyectoVeinticinco,FunzionaleVeinticinco,TecnicoVeinticinco,120.8,90.0,60.5,Detalles del proyecto de blockchain," true"," true"," ICMS025",ODV025,Consultoría,Servicios,TM,3
24,12,COD026,MCR026,Desarrollo de Aplicación Móvil de Salud,2,2025-02-15,2025-08-31,2025-09-15,ClienteVeintiséis,ProyectoVeintiséis,FunzionaleVeintiséis,TecnicoVeintiséis,190.2,160.0,90.5,Detalles de la aplicación móvil de salud," true"," false"," ICMS026",ODV026,Desarrollo,Informática,FI,4
25,14,COD027,MCR027,Proyecto de Desarrollo Sostenible,3,2025-03-10,2025-09-30,2025-10-15,ClienteVeintisiete,ProyectoVeintisiete,FunzionaleVeintisiete,TecnicoVeintisiete,260.8,230.5,130.0,Detalles del proyecto sostenible," true"," true"," ICMS027",ODV027,Consultoría,Servicios,TM,5
26,16,COD028,MCR028,Desarrollo de Plataforma de Comercio Electrónico B2C,1,2025-04-05,2025-10-31,2025-11-15,ClienteVeintiocho,ProyectoVeintiocho,FunzionaleVeintiocho,TecnicoVeintiocho,130.0,100.5,50.2,Detalles de la plataforma de eCommerce B2C," false"," false"," ICMS028",ODV028,Desarrollo,Informática,FI,6
27,18,COD029,MCR029,Proyecto de Desarrollo de Realidad Virtual,2,2025-05-20,2025-11-30,2025-12-15,ClienteVeintinueve,ProyectoVeintinueve,FunzionaleVeintinueve,TecnicoVeintinueve,200.5,170.0,80.2,Detalles del proyecto de realidad virtual," true"," true"," ICMS029",ODV029,Consultoría,Servicios,TM,7
28,20,COD030,MCR030,Desarrollo de Plataforma de Streaming en Vivo,3,2025-06-15,2025-12-31,2026-01-15,ClienteTreinta,ProyectoTreinta,FunzionaleTreinta,TecnicoTreinta,160.0,130.5,70.2,Detalles de la plataforma de streaming," true"," true"," ICMS030",ODV030,Consultoría,Servicios,FI,8
29,2,COD031,MCR031,Proyecto de Desarrollo de Internet de las Cosas,1,2025-07-01,2026-01-31,2026-02-15,ClienteTreintauno,ProyectoTreintauno,FunzionaleTreintauno,TecnicoTreintauno,220.5,190.0,100.2,Detalles del proyecto IoT," false"," false"," ICMS031",ODV031,Desarrollo,Informática,FI,9
30,4,COD032,MCR032,Implementación de Sistema de Gestión de Contenidos,2,2025-08-18,2026-02-28,2026-03-15,ClienteTreintaidós,ProyectoTreintaidós,FunzionaleTreintaidós,TecnicoTreintaidós,90.5,60.0,30.2,Notas para la implementación de CMS," true"," true"," ICMS032",ODV032,Consultoría,Servicios,FI,10
31,6,COD033,MCR033,Proyecto de Desarrollo de Aplicación Empresarial,3,2025-09-10,2026-03-31,2026-04-15,ClienteTreintatres,ProyectoTreintatres,FunzionaleTreintatres,TecnicoTreintatres,270.0,240.5,140.2,Detalles de la aplicación empresarial," true"," false"," ICMS033",ODV033,Desarrollo,Informática,TM,11
32,8,COD034,MCR034,Desarrollo de Plataforma de Educación en Línea,1,2025-10-05,2026-04-30,2026-05-15,ClienteTreintacuatro,ProyectoTreintacuatro,FunzionaleTreintacuatro,TecnicoTreintacuatro,140.5,110.0,60.2,Detalles de la plataforma de educación," true"," true"," ICMS034",ODV034,Consultoría,Servicios,FI,12
33,10,COD035,MCR035,Proyecto de Desarrollo de Aplicación de Viajes,2,2025-11-20,2026-05-31,2026-06-15,ClienteTreintacinco,ProyectoTreintacinco,FunzionaleTreintacinco,TecnicoTreintacinco,180.0,150.5,80.0,Detalles de la aplicación de viajes," true"," true"," ICMS035",ODV035,Desarrollo,Informática,TM,13
34,12,COD036,MCR036,Desarrollo de Plataforma de Reservas de Hotel,3,2025-12-15,2026-06-30,2026-07-15,ClienteTreintaseis,ProyectoTreintaseis,FunzionaleTreintaseis,TecnicoTreintaseis,250.5,220.0,120.5,Notas para la plataforma de reservas," false"," false"," ICMS036",ODV036,Desarrollo,Informática,FI,14
35,14,COD037,MCR037,Proyecto de Desarrollo de Aplicación de Fitness,1,2026-01-01,2026-07-31,2026-08-15,ClienteTreintasiete,ProyectoTreintasiete,FunzionaleTreintasiete,TecnicoTreintasiete,120.8,90.0,60.5,Detalles de la aplicación de fitness," true"," true"," ICMS037",ODV037,Consultoría,Servicios,TM,15
36,16,COD038,MCR038,Desarrollo de Plataforma de Música en Streaming,2,2026-02-15,2026-08-31,2026-09-15,ClienteTreintaosocho,ProyectoTreintaosocho,FunzionaleTreintaosocho,TecnicoTreintaosocho,190.2,160.0,90.5,Detalles de la plataforma de música," true"," false"," ICMS038",ODV038,Desarrollo,Informática,FI,16
37,18,COD039,MCR039,Proyecto de Desarrollo de Aplicación de Noticias,3,2026-03-10,2026-09-30,2026-10-15,ClienteTreintanueve,ProyectoTreintanueve,FunzionaleTreintanueve,TecnicoTreintanueve,260.8,230.5,130.0,Detalles de la aplicación de noticias," true"," true"," ICMS039",ODV039,Consultoría,Servicios,TM,17
38,20,COD040,MCR040,Desarrollo de Plataforma de Videoconferencia,1,2026-04-05,2026-10-31,2026-11-15,ClienteCuarenta,ProyectoCuarenta,FunzionaleCuarenta,TecnicoCuarenta,130.0,100.5,50.2,Detalles de la plataforma de videoconferencia," false"," false"," ICMS040",ODV040,Desarrollo,Informática,FI,18
39,2,COD041,MCR041,Proyecto de Desarrollo de Aplicación de Recetas,2,2026-05-20,2026-11-30,2026-12-15,ClienteCuarentauno,ProyectoCuarentauno,FunzionaleCuarentauno,TecnicoCuarentauno,200.5,170.0,80.2,Detalles de la aplicación de recetas," true"," true"," ICMS041",ODV041,Consultoría,Servicios,TM,19
40,4,COD042,MCR042,Desarrollo de Plataforma de Comida a Domicilio,3,2026-06-15,2026-12-31,2027-01-15,ClienteCuarentados,ProyectoCuarentados,FunzionaleCuarentados,TecnicoCuarentados,160.0,130.5,70.2,Detalles de la plataforma de entrega de alimentos," true"," true"," ICMS042",ODV042,Consultoría,Servicios,FI,20
41,6,COD043,MCR043,Proyecto de Desarrollo de Aplicación de Viajes Espaciales,1,2026-07-01,2027-01-31,2027-02-15,ClienteCuarentatres,ProyectoCuarentatres,FunzionaleCuarentatres,TecnicoCuarentatres,220.5,190.0,100.2,Detalles de la aplicación de viajes espaciales," false"," false"," ICMS043",ODV043,Desarrollo,Informática,FI,1
42,8,COD044,MCR044,Desarrollo de Plataforma de E-learning Interactivo,2,2026-08-18,2027-02-28,2027-03-15,ClienteCuarentacuatro,ProyectoCuarentacuatro,FunzionaleCuarentacuatro,TecnicoCuarentacuatro,90.5,60.0,30.2,Detalles de la plataforma de e-learning," true"," true"," ICMS044",ODV044,Consultoría,Servicios,FI,2
43,10,COD045,MCR045,Proyecto de Desarrollo de Aplicación de Finanzas Personales,3,2026-09-10,2027-03-31,2027-04-15,ClienteCuarentacinco,ProyectoCuarentacinco,FunzionaleCuarentacinco,TecnicoCuarentacinco,270.0,240.5,140.2,Detalles de la aplicación de finanzas personales," true"," false"," ICMS045",ODV045,Desarrollo,Informática,TM,3
44,12,COD046,MCR046,Desarrollo de Plataforma de Asesoramiento Legal en Línea,1,2026-10-05,2027-04-30,2027-05-15,ClienteCuarentaseis,ProyectoCuarentaseis,FunzionaleCuarentaseis,TecnicoCuarentaseis,140.5,110.0,60.2,Detalles de la plataforma de asesoramiento legal," true"," true"," ICMS046",ODV046,Consultoría,Servicios,FI,4
45,14,COD047,MCR047,Proyecto de Desarrollo de Aplicación de Planificación de Eventos,2,2026-11-20,2027-05-31,2027-06-15,ClienteCuarentaysiete,ProyectoCuarentaysiete,FunzionaleCuarentaysiete,TecnicoCuarentaysiete,180.0,150.5,80.0,Detalles de la aplicación de planificación de eventos," true"," true"," ICMS047",ODV047,Desarrollo,Informática,TM,5
46,16,COD048,MCR048,Desarrollo de Plataforma de Reservas de Vuelos,3,2026-12-15,2027-06-30,2027-07-15,ClienteCuarentaocho,ProyectoCuarentaocho,FunzionaleCuarentaocho,TecnicoCuarentaocho,250.5,220.0,120.5,Notas para la plataforma de reservas de vuelos," false"," false"," ICMS048",ODV048,Desarrollo,Informática,FI,6
47,18,COD049,MCR049,Proyecto de Desarrollo de Aplicación de Reciclaje,1,2027-01-01,2027-07-31,2027-08-15,ClienteCuarentanueve,ProyectoCuarentanueve,FunzionaleCuarentanueve,TecnicoCuarentanueve,120.8,90.0,60.5,Detalles de la aplicación de reciclaje," true"," true"," ICMS049",ODV049,Consultoría,Servicios,TM,7
48,20,COD050,MCR050,Desarrollo de Plataforma de Comunicación Empresarial,2,2027-02-15,2027-08-31,2027-09-15,ClienteCincuenta,ProyectoCincuenta,FunzionaleCincuenta,TecnicoCincuenta,190.2,160.0,90.5,Detalles de la plataforma de comunicación empresarial," true"," false"," ICMS050",ODV050,Desarrollo,Informática,FI,8
49,2,COD051,MCR051,Proyecto de Desarrollo de Aplicación de Moda,3,2027-03-10,2027-09-30,2027-10-15,ClienteCincuentayuno,ProyectoCincuentayuno,FunzionaleCincuentayuno,TecnicoCincuentayuno,260.8,230.5,130.0,Detalles de la aplicación de moda," true"," true"," ICMS051",ODV051,Consultoría,Servicios,TM,9
50,4,COD052,MCR052,Desarrollo de Plataforma de Tutoría en Línea,1,2027-04-05,2027-10-31,2027-11-15,ClienteCincuentados,ProyectoCincuentados,FunzionaleCincuentados,TecnicoCincuentados,130.0,100.5,50.2,Detalles de la plataforma de tutoría en línea," false"," false"," ICMS052",ODV052,Desarrollo,Informática,FI,10
51,6,COD053,MCR053,Proyecto de Desarrollo de Plataforma de Comercio Electrónico B2B,2,2027-05-20,2027-11-30,2027-12-15,ClienteCincuentaitres,ProyectoCincuentaitres,FunzionaleCincuentaitres,TecnicoCincuentaitres,200.5,170.0,80.2,Detalles de la plataforma de eCommerce B2B," true"," true"," ICMS053",ODV053,Desarrollo,Informática,TM,11
52,8,COD054,MCR054,Desarrollo de Plataforma de Telemedicina,3,2027-06-15,2027-12-31,2028-01-15,ClienteCincuentaicuatro,ProyectoCincuentaicuatro,FunzionaleCincuentaicuatro,TecnicoCincuentaicuatro,160.0,130.5,70.2,Detalles de la plataforma de telemedicina," true"," true"," ICMS054",ODV054,Consultoría,Servicios,FI,12
53,10,COD055,MCR055,Proyecto de Desarrollo de Aplicación de Viajes en Grupo,1,2027-07-01,2028-01-31,2028-02-15,ClienteCincuentaicinco,ProyectoCincuentaicinco,FunzionaleCincuentaicinco,TecnicoCincuentaicinco,220.5,190.0,100.2,Detalles de la aplicación de viajes en grupo," false"," false"," ICMS055",ODV055,Desarrollo,Informática,FI,13
54,12,COD056,MCR056,Desarrollo de Plataforma de Reservas de Actividades al Aire Libre,2,2027-08-18,2028-02-28,2028-03-15,ClienteCincuentaiseis,ProyectoCincuentaiseis,FunzionaleCincuentaiseis,TecnicoCincuentaiseis,90.5,60.0,30.2,Detalles de la plataforma de reservas de actividades," true"," true"," ICMS056",ODV056,Consultoría,Servicios,TM,14
55,14,COD057,MCR057,Proyecto de Desarrollo de Aplicación de Gestión de Tiempo,3,2027-09-10,2028-03-31,2028-04-15,ClienteCincuentaisiete,ProyectoCincuentaisiete,FunzionaleCincuentaisiete,TecnicoCincuentaisiete,270.0,240.5,140.2,Detalles de la aplicación de gestión del tiempo," true"," false"," ICMS057",ODV057,Desarrollo,Informática,FI,15
56,16,COD058,MCR058,Desarrollo de Plataforma de Juegos Educativos,1,2027-10-05,2028-04-30,2028-05-15,ClienteCincuentaiocho,ProyectoCincuentaiocho,FunzionaleCincuentaiocho,TecnicoCincuentaiocho,140.5,110.0,60.2,Detalles de la plataforma de juegos educativos," true"," true"," ICMS058",ODV058,Desarrollo,Informática,TM,16
57,18,COD059,MCR059,Proyecto de Desarrollo de Aplicación de Control de Gastos,2,2027-11-20,2028-05-31,2028-06-15,ClienteCincuentainueve,ProyectoCincuentainueve,FunzionaleCincuentainueve,TecnicoCincuentainueve,180.0,150.5,80.0,Detalles de la aplicación de control de gastos," true"," true"," ICMS059",ODV059,Desarrollo,Informática,TM,17
58,20,COD060,MCR060,Desarrollo de Plataforma de Gestión de Proyectos,3,2027-12-15,2028-06-30,2028-07-15,ClienteSesenta,ProyectoSesenta,FunzionaleSesenta,TecnicoSesenta,250.5,220.0,120.5,Notas para la plataforma de gestión de proyectos," false"," false"," ICMS060",ODV060,Desarrollo,Informática,FI,18
59,2,COD061,MCR061,Proyecto de Desarrollo de Aplicación de Organización de Eventos,1,2028-01-01,2028-07-31,2028-08-15,ClienteSesentayuno,ProyectoSesentayuno,FunzionaleSesentayuno,TecnicoSesentayuno,120.8,90.0,60.5,Detalles de la aplicación de organización de eventos," true"," true"," ICMS061",ODV061,Consultoría,Servicios,TM,19
60,4,COD062,MCR062,Desarrollo de Plataforma de Reservas de Alquiler de Coches,2,2028-02-15,2028-08-31,2028-09-15,ClienteSesentados,ProyectoSesentados,FunzionaleSesentados,TecnicoSesentados,190.2,160.0,90.5,Detalles de la plataforma de reservas de alquiler de coches," true"," false"," ICMS062",ODV062,Desarrollo,Informática,FI,20
